time,CHL,analysed_sst
2022-11-08,2.4042141,302.37
2022-11-09,1.9390306,302.43
2022-11-10,1.3512748,302.46
2022-11-11,1.4670813,302.53998
2022-11-12,1.622964,302.61
2022-11-13,2.0710833,302.41998
2022-11-14,1.7129846,302.63998
2022-11-15,1.4268966,302.71
2022-11-16,1.4508524,302.63
2022-11-17,1.1002673,302.71
2022-11-18,1.9849156,302.72998
2022-11-19,1.9849005,302.47998
2022-11-20,2.2586296,302.49
2022-11-21,2.8572965,302.47
2022-11-22,2.8593688,302.62
2022-11-23,2.8560197,302.74
2022-11-24,3.1766405,302.68
2022-11-25,3.509048,302.8
2022-11-26,1.9857907,302.77
2022-11-27,3.1404107,302.75998
2022-11-28,1.9930035,303.25998
2022-11-29,2.540529,302.99
2022-11-30,1.8034304,302.74
2022-12-01,1.8135406,302.68
